;Оксид углерода;Диоксид серы;Сероводород;Метан;Неметановые углеводороды;NH3 Horiba;Углеводороды суммарные;PM10_OPSIS_RTPM;NO2 Horiba;NO Horiba;H2S;SO2;Диоксид азота;Оксид азота;Озон;Оксиды азота;SO2_OPSIS;Взвешенные частицы менее 10 мкм;Формальдегид;Бензол;Толуол;Параксилол;Фенол;Азотистая кислота;Нафталин;Стирол;Метаксилол;Этилбензол;Взвешенные частицы менее 2.5 мкм;Метан (2);Суммарные углеводороды (2);Неметановые углеводороды (2)
rogovo;0;0;19;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
troitsk;0;;;;;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
kapotnya;0;39;5;;;;;;;;;;10;5;;;;;;;;;;;;;;;;;;
golovacheva;0;15;240;;;;;;;;;;0;52;;;;;;;;;;;;;;;;;;
kozuhovskaya;1;;;;;;;;;;;;0;2;0;;;;;;;;;;;;;;;;;
shabol;0;;;;;;;;;;;;0;1;;;;0;;;;;;;;;;;;;;
spirid;0;;;;;;;;;;;;0;0;0;;;0;;;;;;;;;;;;;;
kazak;0;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;
biryulevo;7;0;17;;;;;;;;;;0;55;;;;;;;;;;;;;;;;;;
chayanova;0;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;
butlerova;1;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;
cheremushki;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;
gagrina;;0;;;;;;;;;;;0;;0;;;;0;0;0;0;0;;;0;;;;;;
marin;0;1;202;;;;;;;;;;0;26;0;;;2;;;;;;;;;;;;;;
gurevsk;1;0;6;;;;;;;;;;1;65;;;;;;;;;;;;;;;;;;
lyublino;52;0;91;;;;;;;;;;2;113;;;;;;;;;;;;;;;;;;
hamovniki;;0;;;;;;;;;;;1;;0;;;;0;0;0;0;0;;;41;;20;;;;
kosino;0;;;;;;;;;;;;8;61;0;;;32;;;;;;;;;;;12;;;
losinyj;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kojuhovo;0;0;153;;;;;;;;;;0;0;;;;0;;;;;;;;;;;;;;
polyarnaya;7;;;;;;;;;;;;4;31;0;;;;;;;;;;;;;;;;;
ostankino;0;;;;;;;;;;;;0;13;;;;1;;;;;;;;;;;;;;
madi;0;0;17;;;;;;;;;;0;4;;;;;;;;;;;;;;;;;;
maslovka;25;0;;;;;;;;;;;0;;;;;;0;;0;0;0;;;0;;;;;;
dolgoprud;0;0;;;;;;;;;;;2;56;;;;;;;;;;;;;;;;;;
letnaya;0;;;;;;;;;;;;1;3;;;;;;;;;;;;;;;;;;
turist;1;;;;;;;;;;;;0;12;;;;;;;;;;;;;;;;;;
mgu;0;0;;;;;;;;;;;0;4;0;;;0;;;;;;;;;;;;;;
kutuz_2;;0;;;;;;;;;;;0;;0;;;;;0;0;0;0;;;;;;;;;
zelen_11;0;;;;;;;;;;;;0;0;;;;0;;;;;;;;;;;;;;
zelen_15;1;0;;;;;;;;;;;0;9;12;;;;;;;;;;;;;;;;;
zelen_6;0;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;
veshnyaki;2;;;;;;;;;;;;0;23;;;;;;;;;;;;;;;;;;
zvenigorod;0;;;;;;;;;;;;78;0;3;;;;;;;;;;;;;;;;;
chura;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
suhar;0;0;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;
scherbinka;0;0;0;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;
semenkovo;0;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;
salarevo;1;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;
proletarskiy;0;0;0;;;;;;;;;;0;0;;;;0;;;;;;;;;;;0;;;
guryanova;0;0;3;;;;;;;;;;0;0;;;;0;;;;;;;;;;;0;;;
