;Оксид углерода;Диоксид серы;Сероводород;Метан;Неметановые углеводороды;NH3 Horiba;Углеводороды суммарные;PM10_OPSIS_RTPM;NO2 Horiba;NO Horiba;H2S;SO2;Диоксид азота;Оксид азота;Озон;Оксиды азота;SO2_OPSIS;Взвешенные частицы менее 10 мкм;Формальдегид;Бензол;Толуол;Параксилол;Фенол;Азотистая кислота;Нафталин;Стирол;Метаксилол;Этилбензол;Взвешенные частицы менее 2.5 мкм;Метан (2);Суммарные углеводороды (2);Неметановые углеводороды (2)
rogovo;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
troitsk;0;;;;;0;;;0;0;;0;;;;;;;;;;;;;;;;;;;;
kapotnya;0;99;;;;;;;;;;;138;19;;;;;;;;;;;;;;;;;;
golovacheva;0;20;;;;;;;;;;;28;25;;;;;;;;;;;;;;;;;;
kozuhovskaya;0;;;;;;;;;;;;242;27;72;;;;;;;;;;;;;;;;;
shabol;0;;;;;;;;;;;;99;12;;;;2;;;;;;;;;;;;;;
spirid;0;;;;;;;;;;;;175;9;96;;;0;;;;;;;;;;;;;;
kazak;0;;;;;;;;;;;;13;12;;;;;;;;;;;;;;;;;;
biryulevo;0;0;;;;;;;;;;;79;58;;;;;;;;;;;;;;;;;;
chayanova;0;;;;;;;;;;;;187;7;;;;;;;;;;;;;;;;;;
butlerova;0;;;;;;;;;;;;75;6;;;;;;;;;;;;;;;;;;
cheremushki;0;0;;;;;;;;;;;77;4;;;;;;;;;;;;;;;;;;
gagrina;;1;;;;;;;;;;;296;;170;;;;226;0;;;62;;;328;0;;;;;
marin;0;7;;;;;;;;;;;117;27;166;;;9;;;;;;;;;;;;;;
gurevsk;0;0;;;;;;;;;;;108;38;;;;;;;;;;;;;;;;;;
lyublino;0;1;;;;;;;;;;;181;103;;;;;;;;;;;;;;;;;;
hamovniki;;1;;;;;;;;;;;285;;174;;;;206;0;;;0;;;188;0;;;;;
kosino;0;;;;;;;;;;;;224;63;124;;;57;;;;;;;;;;;13;;;
losinyj;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kojuhovo;0;0;;;;;;;;;;;183;9;;;;0;;;;;;;;;;;;;;
polyarnaya;0;;;;;;;;;;;;175;34;65;;;;;;;;;;;;;;;;;
ostankino;0;;;;;;;;;;;;172;38;;;;21;;;;;;;;;;;;;;
madi;0;0;;;;;;;;;;;129;179;;;;;;;;;;;;;;;;;;
maslovka;2;0;;;;;;;;;;;340;;;;;;224;;;;184;;;274;0;;;;;
dolgoprud;0;0;;;;;;;;;;;146;49;;;;;;;;;;;;;;;;;;
letnaya;0;;;;;;;;;;;;134;28;;;;;;;;;;;;;;;;;;
turist;0;;;;;;;;;;;;98;15;;;;;;;;;;;;;;;;;;
mgu;0;0;;;;;;;;;;;252;35;97;;;1;;;;;;;;;;;;;;
kutuz_2;;1;;;;;;;;;;;307;;87;;;;;0;;;24;;;;0;;;;;
zelen_11;0;;;;;;;;;;;;73;3;;;;1;;;;;;;;;;;;;;
zelen_15;0;0;;;;;;;;;;;104;37;172;;;;;;;;;;;;;;;;;
zelen_6;0;;;;;;;;;;;;20;13;;;;;;;;;;;;;;;;;;
veshnyaki;0;;;;;;;;;;;;141;32;;;;;;;;;;;;;;;;;;
zvenigorod;0;;;;;;;;;;;;8;2;271;;;;;;;;;;;;;;;;;
chura;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
suhar;0;0;;;;;;;;;;;108;28;;;;;;;;;;;;;;;;;;
scherbinka;0;0;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;
semenkovo;0;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;
salarevo;0;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;
proletarskiy;0;0;;;;;;;;;;;5;2;;;;0;;;;;;;;;;;0;;;
guryanova;0;0;;;;;;;;;;;7;1;;;;0;;;;;;;;;;;0;;;
