moseco_id;data.oxid-ugleroda.max_pdk_ss;data.dioxid-seri.max_pdk_ss;data.serovodorod.max_pdk_ss;data.metan.max_pdk_ss;data.non-metan-ugevodorodi.max_pdk_ss;data.dioxid-seri.max_pdk_ss;data.uglevodorodi.max_pdk_ss;data.oxid-azota.max_pdk_ss;data.amiak.max_pdk_ss;data.ozon.max_pdk_ss;data.formaldegid.max_pdk_ss;data.benzol.max_pdk_ss;data.toluol.max_pdk_ss;data.paraxilol.max_pdk_ss;data.fenol.max_pdk_ss;data.stirol.max_pdk_ss;data.SO2_OPSIS.max_pdk_ss;data.chastitsi-10.max_pdk_ss;data.chastitsi-2.max_pdk_ss;data.azotistaya-kislota.max_pdk_ss;data.naftalin.max_pdk_ss;data.metaksilol.max_pdk_ss;data.etilbenzol.max_pdk_ss;data.H2S.max_pdk_ss
rogovo;0.31;0.71;;;;1.54;;1.11;;;;;;;;;;;;;;;;
troitsk;0.53;0.43;;;;1.67;;3.85;0.32;;;;;;;;;;;;;;;
kapotnya;0.74;;;;;2.17;;4.86;;;;;;;;;;;;;;;;
golovacheva;0.86;4.24;;;;1.58;;8.02;;;;;;;;;;;;;;;;
kozuhovskaya;0.89;0.78;;;;4.84;;;;2.27;1.07;0.05;;;0.58;4.56;;;;;;;;
shabol;0.92;0.82;;;;2.37;;5.10;;;;;;;;;;1.80;1.60;;;;;
spirid;0.82;;;;;3.47;;5.92;;3.83;;;;;;;;2.51;2.17;;;;;
kazak;0.71;;;;;2.93;;5.68;;;;;;;;;;;;;;;;
biryulevo;0.70;0.51;;;;1.26;;4.02;;;;;;;;;;;;;;;;
chayanova;0.31;;;;;3.48;;5.38;;;;;;;;;;;;;;;;
butlerova;0.73;;;;;3.55;;5.30;;;;;;;;;;;;;;;;
cheremushki;0.35;0.48;;;;1.19;;4.15;;;;;;;;;;1.94;1.64;;;;;
gagrina;;0.64;;;;3.94;;;;1.31;1.68;0.13;;;1.16;6.90;;;;;;0.21;;
marin;0.66;1.14;;;;2.63;;5.23;;2.44;;;;;;;;2.18;;;;;;
gurevsk;0.61;1.11;;;;3.51;;8.00;;;;;;;;;;;;;;;;
lyublino;0.77;0.56;;;;1.87;;4.04;;;;;;;;;;;;;;;;
hamovniki;;0.62;;;;4.76;;;;1.90;1.05;0.05;;;1.03;33.57;;;;;;0.06;;
kosino;;;;;;;;;;;;;;;;;;;1.47;;;;;
kojuhovo;0.52;1.01;;;;2.44;;4.73;;;2.41;0.29;;;0.54;3.67;;2.40;;;;;;
polyarnaya;0.95;0.35;;;;4.18;;8.11;;2.03;;;;;;;;;;;;;;
ostankino;1.03;;;;;4.64;;6.92;;;;;;;;;;1.75;;;;;;
madi;0.73;0.44;;;;2.22;;4.28;;;;;;;;;;;;;;;;
maslovka;1.30;0.58;;;;5.07;;;;;1.31;;;;2.00;10.60;;;;;;0.05;;
dolgoprud;1.04;0.39;;;;;;;;;;;;;;;;4.89;2.68;;;;;
letnaya;0.69;;;;;2.89;;6.09;;;;;;;;;;;;;;;;
turist;0.45;;;;;1.86;;4.69;;2.35;;;;;;;;;;;;;;
mgu;0.66;0.36;;;;2.81;;5.63;;2.93;;;;;;;;2.32;;;;;;
kutuz_2;;0.87;;;;4.70;;;;2.82;;0.05;;;2.08;;;;;;;0.07;;
zelen_11;0.51;;;;;3.30;;5.38;;;;;;;;;;2.12;;;;;;
zelen_15;0.75;0.32;;;;3.89;;9.29;;3.61;;;;;;;;;;;;;;
zelen_6;0.58;;;;;1.88;;4.91;;;;;;;;;;;;;;;;
veshnyaki;0.63;0.13;;;;2.05;;5.65;;;;;;;;;;2.42;2.41;;;;;
zvenigorod;0.59;;;;;3.52;;1.89;;3.97;;;;;;;;;;;;;;
chura;0.84;;;;;;;;;;;;;;;;;;;;;;;
suhar;0.71;;;;;3.55;;6.03;;;;;;;;;;;;;;;;
scherbinka;0.61;0.35;;;;1.81;;4.23;;;;;;;;;;;;;;;;
semenkovo;0.17;;;;;1.67;;0.92;;;;;;;;;;;;;;;;
salarevo;0.42;;;;;2.33;;2.90;;;;;;;;;;;;;;;;
proletarskiy;1.02;1.13;;;;1.90;;4.71;0.36;;;;;;;;;2.17;1.55;;;;;
guryanova;0.82;0.77;;;;2.75;;6.33;0.26;;;;;;;;;2.04;1.99;;;;;
