;Оксид углерода;Диоксид серы;Сероводород;Метан;Неметановые углеводороды;Диоксид азота;Углеводороды суммарные;Оксид азота;Аммиак;Озон;Формальдегид;Бензол;Толуол;Параксилол;Фенол;Стирол;SO2_OPSIS;Взвешенные частицы менее 10 мкм;Взвешенные частицы менее 2.5 мкм;Азотистая кислота;Нафталин;Метаксилол;Этилбензол;H2S
;oxid-ugleroda;dioxid-seri;serovodorod;metan;non-metan-ugevodorodi;dioxid-seri;uglevodorodi;oxid-azota;amiak;ozon;formaldegid;benzol;toluol;paraxilol;fenol;stirol;SO2_OPSIS;chastitsi-10;chastitsi-2;azotistaya-kislota;naftalin;metaksilol;etilbenzol;H2S
rogovo;0;0;;;;6;;1;;;;;;;;;;;;;;;;
troitsk;0;0;;;;38;;12;0;;;;;;;;;;;;;;;
kapotnya;0;;;;;72;;22;;;;;;;;;;;;;;;;
golovacheva;0;24;;;;48;;43;;;;;;;;;;;;;;;;
kozuhovskaya;0;0;;;;346;;;;72;1;0;;;0;144;;;;;;;;
shabol;0;0;;;;108;;17;;;;;;;;;;10;7;;;;;
spirid;0;;;;;156;;13;;205;;;;;;;;6;17;;;;;
kazak;0;;;;;59;;19;;;;;;;;;;;;;;;;
biryulevo;0;0;;;;13;;27;;;;;;;;;;;;;;;;
chayanova;0;;;;;110;;12;;;;;;;;;;;;;;;;
butlerova;0;;;;;118;;13;;;;;;;;;;;;;;;;
cheremushki;0;0;;;;5;;5;;;;;;;;;;16;11;;;;;
gagrina;;0;;;;308;;;;14;37;0;;;182;188;;;;;;0;;
marin;0;1;;;;107;;24;;182;;;;;;;;22;;;;;;
gurevsk;0;1;;;;136;;48;;;;;;;;;;;;;;;;
lyublino;0;0;;;;92;;38;;;;;;;;;;;;;;;;
hamovniki;;0;;;;276;;;;117;1;0;;;1;231;;;;;;0;;
kosino;;;;;;;;;;;;;;;;;;;21;;;;;
kojuhovo;0;1;;;;91;;13;;;30;0;;;0;78;;19;;;;;;
polyarnaya;0;0;;;;174;;46;;92;;;;;;;;;;;;;;
ostankino;1;;;;;54;;23;;;;;;;;;;5;;;;;;
madi;0;0;;;;137;;77;;;;;;;;;;;;;;;;
maslovka;6;0;;;;305;;;;;35;;;;62;160;;;;;;0;;
dolgoprud;1;0;;;;;;;;;;;;;;;;57;19;;;;;
letnaya;0;;;;;123;;47;;;;;;;;;;;;;;;;
turist;0;;;;;26;;19;;149;;;;;;;;;;;;;;
mgu;0;0;;;;101;;15;;139;;;;;;;;6;;;;;;
kutuz_2;;0;;;;283;;;;184;;0;;;144;;;;;;;0;;
zelen_11;0;;;;;86;;14;;;;;;;;;;24;;;;;;
zelen_15;0;0;;;;99;;51;;199;;;;;;;;;;;;;;
zelen_6;0;;;;;42;;23;;;;;;;;;;;;;;;;
veshnyaki;0;0;;;;87;;30;;;;;;;;;;10;12;;;;;
zvenigorod;0;;;;;23;;3;;251;;;;;;;;;;;;;;
chura;0;;;;;;;;;;;;;;;;;;;;;;;
suhar;0;;;;;256;;47;;;;;;;;;;;;;;;;
scherbinka;0;0;;;;84;;23;;;;;;;;;;;;;;;;
semenkovo;0;;;;;4;;0;;;;;;;;;;;;;;;;
salarevo;0;;;;;20;;8;;;;;;;;;;;;;;;;
proletarskiy;1;1;;;;81;;26;0;;;;;;;;;20;8;;;;;
guryanova;0;0;;;;124;;26;0;;;;;;;;;9;17;;;;;
